designer,handle,ig_posts,ig_followers,ravelry_fans,ig_to_rav
PetiteKnit,petiteknit,8297,1500000,66721,22.5
Anne Ventzel,anneventzel,3114,378000,17065,22.2
Julie Weisenberger,cocoknits,2520,117000,6711,17.4
Jared Flood/BT,brooklyntweed,4085,171000,22981,7.4
Stephen West,westknits,8738,346000,49508,7.0
Caitlin Hunter,boylandknitworks,2401,209000,36501,5.7
Ysolda Teague,ysolda,3645,118000,21384,5.5
Andrea Mowry,dreareneeknits,3445,267000,53935,5.0
Isabell Kraemer,lilalu72,1674,202000,52640,3.8
Joji Locatelli,jojilocat,4274,156000,42173,3.7
Amy Herzog,amyherzogdesign,486,17600,6777,2.6
Norah Gaughan,norahgn,656,42100,21701,1.9
